,Unnamed: 0,index,Latitude,Longitude,spot_nm,add_point,code,utmk_x,utmk_y
0,0,0,37.538055,127.122215,풍납1동,1,법정동_좌표,966813.8647239391,1948509.342561761
1,1,1,37.528779,127.116814,풍납2동,1,법정동_좌표,966332.5279136703,1947482.142074488
2,2,2,37.496923,127.143302,거여1동,1,법정동_좌표,968659.5907444613,1943938.7286807136
3,3,3,37.493534,127.146891,거여2동,1,법정동_좌표,968975.4349508241,1943561.5479763465
4,4,4,37.496025,127.149894,마천1동,1,법정동_좌표,969241.9204624407,1943836.9217797245
5,5,5,37.49688,127.148538,마천2동,1,법정동_좌표,969122.408415973,1943932.2238378
6,6,6,37.511009,127.123923,방이1동,1,법정동_좌표,966952.8083030116,1945508.1317656836
7,7,7,37.514596,127.114379,방이2동,1,법정동_좌표,966110.9508014598,1945909.4909521858
8,8,8,37.515538,127.134424,오륜동,1,법정동_좌표,967882.8135052548,1946006.9550922194
9,9,9,37.50401,127.134003,오금동,1,법정동_좌표,967840.6528208225,1944728.1331997297
10,10,10,37.50609,127.109571,송파1동,1,법정동_좌표,965682.146476216,1944967.5439264553
11,11,11,37.502323,127.116741,송파2동,1,법정동_좌표,966314.1648450247,1944547.0212331128
12,12,12,37.50273,127.102497,석촌동,1,법정동_좌표,965055.3480072769,1944597.379256473
13,13,13,37.501901,127.091876,삼전동,1,법정동_좌표,964116.1801799403,1944509.4105751028
14,14,14,37.495585,127.12183,가락본동,1,법정동_좌표,966760.9816718075,1943797.6666418137
15,15,15,37.496537,127.105726,가락1동,1,법정동_좌표,965337.8851614136,1943909.105402107
16,16,16,37.498639,127.126488,가락2동,1,법정동_좌표,967174.0720021299,1944134.8519301624
17,17,17,37.490024,127.124055,문정1동,1,법정동_좌표,966955.2090060152,1943179.9219798204
18,18,18,37.48989,127.110917,문정2동,1,법정동_좌표,965793.7084926998,1943169.757515315
19,19,19,37.477368,127.131914,장지동,1,법정동_좌표,967644.4998901905,1941773.0817230663
20,20,20,37.481576,127.140424,위례동,1,법정동_좌표,968398.7121918942,1942237.0368407131
21,21,21,37.506167,127.084325,잠실본동,1,법정동_좌표,963450.837288084,1944985.6104349226
22,22,22,37.511956,127.088281,잠실2동,1,법정동_좌표,963803.2854437885,1945626.335961374
23,23,23,37.513354,127.094316,잠실3동,1,법정동_좌표,964337.3087119735,1945779.1275800325
24,24,24,37.520419,127.112285,잠실4동,1,법정동_좌표,965928.5482214513,1946556.2787111811
25,25,25,37.518133,127.100683,잠실6동,1,법정동_좌표,964902.2386487329,1946306.932757671
26,26,26,37.508661,127.07709,잠실7동,1,법정동_좌표,962812.6175336823,1945265.1456126855
27,27,27,37.506967,127.083673,잠실동,1,법정동_좌표,963393.6021921164,1945074.6198630494
28,28,28,37.517302,127.104967,신천동,1,법정동_좌표,965280.4297849226,1946213.1452016945
29,29,29,37.534673,127.117643,풍납동,1,법정동_좌표,966408.4249140646,1948135.7535827425
30,30,30,37.506058,127.111216,송파동,1,법정동_좌표,965827.5237614319,1944963.3939223809
31,31,31,37.502699,127.102321,석촌동,1,법정동_좌표,965039.7772167295,1944594.0054730696
32,32,32,37.502724,127.092352,삼전동,1,법정동_좌표,964158.6475435476,1944600.5360232447
33,33,33,37.496486,127.126006,가락동,1,법정동_좌표,967130.5210665484,1943896.157827015
34,34,34,37.486581,127.127495,문정동,1,법정동_좌표,967257.8096681017,1942796.7376606264
35,35,35,37.478077,127.133269,장지동,1,법정동_좌표,967764.6113518169,1941851.2751390592
36,36,36,37.512017,127.116902,방이동,1,법정동_좌표,966332.7578725925,1945622.4577071632
37,37,37,37.503984,127.135124,오금동,1,법정동_좌표,967939.7229699813,1944724.8653756233
38,38,38,37.494161,127.145196,거여동,1,법정동_좌표,968825.8600827852,1943631.6710444542
39,39,39,37.497117,127.152393,마천동,1,법정동_좌표,969463.2674144006,1943957.2571843385
40,40,0,37.4981982,127.1321113,가락래미안파크팰리스,4,가락래미안파크팰리스,967670.9411811639,1944083.9974386636
41,41,1,37.49932509919708,127.1332381991971,가락래미안파크팰리스2,4,가락래미안파크팰리스,967771.0369335838,1944208.6329901654
42,42,2,37.49930080448757,127.1332139044876,가락래미안파크팰리스3,4,가락래미안파크팰리스,967768.8790105307,1944205.9459717632
43,43,3,37.49422620861878,127.1281393086188,가락래미안파크팰리스4,4,가락래미안파크팰리스,967318.1090168006,1943644.7030626594
44,44,4,37.49537000062004,127.12928310062,가락래미안파크팰리스5,4,가락래미안파크팰리스,967419.715910034,1943771.2026527377
45,45,5,37.5048491,127.1257434,오금현대아파트,4,오금현대아파트,967110.9842494222,1944824.0868855726
46,46,6,37.5028499921802,127.1237442921802,오금현대아파트2,4,오금현대아파트,966933.4085499471,1944602.9993525858
47,47,7,37.5065590536764,127.1274533536764,오금현대아파트3,4,오금현대아파트,967262.8676633277,1945013.1989821317
48,48,8,37.50111810680398,127.122012406804,오금현대아파트4,4,오금현대아파트,966779.5619523628,1944411.4678518386
49,49,9,37.50836941749361,127.1292637174936,오금현대아파트5,4,오금현대아파트,967423.6623291083,1945213.4189564255
50,50,10,37.5074435,127.0767086,잠실아시아선수촌,4,잠실아시아선수촌,962778.3033428976,1945130.2217766044
51,51,11,37.51165034950223,127.0809154495022,잠실아시아선수촌2,4,잠실아시아선수촌,963152.1875116494,1945595.28987834
52,52,12,37.51382255573259,127.0830876557326,잠실아시아선수촌3,4,잠실아시아선수촌,963345.226276957,1945835.434322501
